;Y;Parameters;Cancer type;Numerosità;SE;SSE;MSE;Root_MSE;RSE;MAE;Deviance;Spent time (s)
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 4000};nervous_system;38;3.7118457038960946;39.59556346456001;1.0419885122252635;1.02077838546;1.009239466599838;0.8899823236146785;39.233070817135996;335.117529630661
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'adaptive', 'max_iter': 4000};thyroid;9;-1.8050832573295885;9.587291102058233;1.0652545668953592;1.03211170272;1.039328208056816;0.8933862155052041;9.224507742345557;397.2518484592438
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 2000};skin;30;-5.958474412428377;45.56206766955156;1.518735588985052;1.23236990753;1.0266659110739969;0.8387782293886495;44.378670001703874;408.8296272754669
0;BMS-708163_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'adaptive', 'max_iter': 4000};soft_tissue;9;1.3799001924012653;11.999043210527168;1.3332270233919075;1.15465450391;1.0185707611639583;0.9735355904356982;11.780274545496889;418.95706582069397
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 2000};kidney;11;2.4138553036009807;11.30463473164266;1.027694066512969;1.01375246807;1.0491460620377098;0.8185286442868193;10.77508188868018;420.9648072719574
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 4000};blood;59;60.09905510257802;93.15002193028862;1.578813931021841;1.25650862752;2.917180254988052;1.18107654119223;31.93152763563804;403.9812786579132
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'adaptive', 'max_iter': 2000};breast;35;-0.7146132998936747;35.806217943983334;1.0230347983995238;1.01145182703;1.0003596168773845;0.8458839257620698;35.793346052644736;422.0001881122589
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 2000};digestive_system;49;3.378778612355838;47.6684245521149;0.9728249908594877;0.986318909308;1.004950278976301;0.8305981547451342;47.433614925379835;405.3618245124817
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 2000};bone;5;0.8908518562370751;3.4871631698006453;0.6974326339601291;0.835124322458;1.0477109151450077;0.7049914035897686;3.3283638830067996;406.9882035255432
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 4000};pancreas;16;-2.459734110873792;19.232315072203637;1.2020196920127273;1.09636658651;1.0200549364469684;0.7294794995451934;18.854195382057743;415.7695367336273
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'adaptive', 'max_iter': 2000};aero_digestive_tract;33;-8.213728248814768;44.024763613090755;1.334083745851235;1.15502543082;1.048709471081992;0.9804949373729291;41.979942803099505;397.2484323978424
0;BMS-708163_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 4000};lung;96;-14.874473061384862;187.61557229812644;1.9543288781054837;1.39797313211;1.0124467395378975;1.0995875198562557;185.30907846447136;342.47197103500366
0;BMS-708163_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [24, 12, 6, 1], 'learning_rate': 'constant', 'max_iter': 4000};urogenital_system;43;6.763540896880444;47.955094096776;1.1152347464366512;1.05604675391;1.0226875716863504;0.8446328041343779;46.8912456007468;409.785108089447
0;BMS-708163_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'adaptive', 'max_iter': 2000};nervous_system;38;0.7237984289531847;0.0848435990729509;0.002232726291393445;0.0472517332105;1.7833632934346515;0.03841465266365635;0.04757505068389469;55.40677046775818
0;BMS-708163_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'adaptive', 'max_iter': 4000};thyroid;9;-0.4308322526472004;0.03295890260374199;0.003662100289304666;0.0605152897151;3.300040553736566;0.05047113943544014;0.009987423508000023;51.85986256599426
0;BMS-708163_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'adaptive', 'max_iter': 4000};skin;30;0.09310452907920541;0.09505373816233748;0.0031684579387445825;0.0562890570071;1.1005807760771105;0.03818357326199092;0.08636688939919998;50.07732391357422
0;BMS-708163_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'adaptive', 'max_iter': 2000};soft_tissue;9;0.2848083168978428;0.017562979038774608;0.0019514421154194009;0.0441751300555;2.593109594691994;0.03621667250132907;0.006772941288222226;50.95360279083252
0;BMS-708163_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'adaptive', 'max_iter': 4000};kidney;11;0.3900957840654927;0.02928737508458794;0.002662488644053449;0.0515993085618;3.802720420751248;0.04254478251283278;0.007701690327999991;51.203606843948364
0;BMS-708163_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'constant', 'max_iter': 2000};blood;59;1.6339693144590037;0.08433291922942929;0.0014293715123632083;0.0378070299331;2.722812419902248;0.034048381673308495;0.030972724603796593;49.42233920097351
0;BMS-708163_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'constant', 'max_iter': 4000};breast;35;0.2813223378963633;0.038675641152355535;0.0011050183186387295;0.0332418158144;0.8917975781402696;0.02814145306829011;0.04336818365554285;57.5161657333374
0;BMS-708163_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'constant', 'max_iter': 4000};digestive_system;49;1.8303246916173719;0.18975471481422979;0.003872545200290404;0.0622297774405;3.436889914283505;0.05321949478713108;0.055211170432204054;51.25048303604126
0;BMS-708163_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'constant', 'max_iter': 4000};bone;5;0.15014171664677223;0.008335699000758335;0.001667139800151667;0.0408306233133;6.3585493421666515;0.03340919758978038;0.0013109435111999896;55.10987567901611
0;BMS-708163_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [4, 2], 'learning_rate': 'adaptive', 'max_iter': 2000};pancreas;16;0.5021325820284704;0.06967911039536323;0.004354944399710202;0.0659920025436;1.8538064593856054;0.04897714229004901;0.03758704693393749;51.20360517501831
0;BMS-708163_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'adaptive', 'max_iter': 2000};aero_digestive_tract;33;-0.7854361785903523;0.06360053598511381;0.001927288969245873;0.0439008994127;1.54716497988449;0.031460400357594794;0.04110779187224246;61.12557601928711
0;BMS-708163_AUC;{'activation': 'identity', 'hidden_layer_sizes': [4], 'learning_rate': 'constant', 'max_iter': 4000};lung;96;6.711634673658699;0.8707068226368809;0.009069862735800844;0.095235826955;3.968661874816053;0.08126892080767754;0.2193955670958333;54.01612687110901
0;BMS-708163_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'constant', 'max_iter': 4000};urogenital_system;43;3.212272291744336;0.2892049604522125;0.006725696754702616;0.0820103454127;6.140818975840355;0.07870662425446404;0.04709550331804653;44.93791937828064
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'adaptive', 'max_iter': 4000};nervous_system;22;4.78892353567414;66.98644932603912;3.044838605729051;1.74494659108;1.014947195998095;1.5286567874163668;65.99993535640533;228.9552788734436
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [4, 2], 'learning_rate': 'constant', 'max_iter': 2000};thyroid;1;0.34015288747506833;0.11570398685762649;0.11570398685762649;0.340152887475;;0.34015288747506833;0.0;239.86162996292114
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [4, 2], 'learning_rate': 'adaptive', 'max_iter': 4000};skin;9;-2.635953223127714;58.488093914250484;6.498677101583387;2.54925030187;1.0126125995300648;2.234531168526741;57.75959527009021;228.92402982711792
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'adaptive', 'max_iter': 2000};soft_tissue;3;3.835149315325677;5.2954244188117965;1.7651414729372654;1.32858626853;13.780343935089121;1.278383105108559;0.3842737484459998;229.20528030395508
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'adaptive', 'max_iter': 4000};kidney;4;-0.5038172457176051;13.336596509004234;3.3341491272510586;1.82596525905;1.0045868053974683;1.443544527490453;13.275703440806753;233.79907369613647
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'adaptive', 'max_iter': 2000};blood;63;-34.82818536567797;200.99206207176437;3.190350191615307;1.78615514209;1.1063476444660618;1.5206588796617362;181.67170425781114;218.4159243106842
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'adaptive', 'max_iter': 2000};breast;9;-1.4792068963649831;17.38057992134459;1.9311755468160656;1.3896674231;1.0051421795620306;1.2037398342222059;17.291663084836227;244.78354787826538
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [4], 'learning_rate': 'adaptive', 'max_iter': 2000};digestive_system;13;1.5212388503156282;50.10678569939066;3.8543681307223587;1.96325447427;1.03294046866796;1.5516834056513569;48.508880443038926;223.26772546768188
0;Z-LLNle-CHO_IC_50;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'constant', 'max_iter': 4000};bone;1;-0.373963168003971;0.13984845102356624;0.13984845102356624;0.373963168004;;0.373963168003971;0.0;247.26795172691345
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'constant', 'max_iter': 4000};pancreas;1;-0.6854245975726112;0.469806878957576;0.469806878957576;0.685424597573;;0.6854245975726112;0.0;243.45541667938232
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'constant', 'max_iter': 4000};aero_digestive_tract;11;-2.3152197799290253;27.91927411180462;2.5381158283458745;1.59314651817;1.0163346963952773;1.2742328905899967;27.470551001386;228.89277696609497
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'constant', 'max_iter': 4000};lung;42;44.36934930539033;154.2580417127143;3.672810516969388;1.91645780464;1.4381823906809972;1.5798578857165941;107.25902549792116;205.26755619049072
0;Z-LLNle-CHO_IC_50;{'activation': 'logistic', 'hidden_layer_sizes': [4], 'learning_rate': 'adaptive', 'max_iter': 2000};urogenital_system;6;-2.4126977098974516;21.58568193215997;3.597613655359995;1.89673763482;1.1098254824330425;1.5189907600487473;19.449618227217332;238.25224208831787
0;Z-LLNle-CHO_AUC;{'activation': 'identity', 'hidden_layer_sizes': [24, 12, 6, 1], 'learning_rate': 'adaptive', 'max_iter': 4000};nervous_system;22;0.2430796586497308;0.1370057999914939;0.0062275363632497225;0.0789147411023;1.245992972638745;0.06924649694156075;0.10995712094695453;46.219181299209595
0;Z-LLNle-CHO_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'constant', 'max_iter': 4000};thyroid;1;0.055708603771072784;0.0031034485341223847;0.0031034485341223847;0.0557086037711;;0.055708603771072784;0.0;49.25046396255493
0;Z-LLNle-CHO_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [24, 12, 6, 1], 'learning_rate': 'adaptive', 'max_iter': 4000};skin;9;-0.4605265489564122;0.193810531589042;0.021534503509893554;0.146746391812;1.0396039128617731;0.11073691690564554;0.1864272817668889;48.3285927772522
0;Z-LLNle-CHO_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'constant', 'max_iter': 4000};soft_tissue;3;0.2427893115429971;0.022692240571114512;0.007564080190371504;0.0869717206359;58.22776497827565;0.08092977051433237;0.0003897151226666663;51.53173351287842
0;Z-LLNle-CHO_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'adaptive', 'max_iter': 2000};kidney;4;-0.9364776315226968;0.2722637263363656;0.0680659315840914;0.260894483621;5.507785543158544;0.2341194078806742;0.04943252132874999;43.04727864265442
0;Z-LLNle-CHO_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'adaptive', 'max_iter': 4000};blood;63;-0.28729820834024;0.3787353829322581;0.006011672744956478;0.0775349775582;1.0572143577930444;0.061142772204186305;0.3582389703095554;46.62543821334839
0;Z-LLNle-CHO_AUC;{'activation': 'identity', 'hidden_layer_sizes': [24, 12, 6, 1], 'learning_rate': 'adaptive', 'max_iter': 2000};breast;9;-0.04153341828335899;0.058190632995699765;0.006465625888411085;0.0804091157047;2.6348508047324835;0.062482754092018054;0.022084982152000013;45.891056060791016
0;Z-LLNle-CHO_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [10, 5], 'learning_rate': 'constant', 'max_iter': 2000};digestive_system;13;1.5363206031579684;0.2625917850725654;0.020199368082505033;0.14212448094;3.586963224692362;0.12657423780558608;0.07320726994492305;46.07855844497681
0;Z-LLNle-CHO_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [24, 12, 6, 1], 'learning_rate': 'constant', 'max_iter': 2000};bone;1;-0.012560920828722733;0.0001577767320654406;0.0001577767320654406;0.0125609208287;;0.012560920828722733;0.0;44.25041747093201
0;Z-LLNle-CHO_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [48, 36, 24, 12, 4], 'learning_rate': 'adaptive', 'max_iter': 4000};pancreas;1;-0.16007637665859697;0.02562444636414501;0.02562444636414501;0.160076376659;;0.16007637665859697;0.0;42.875399351119995
0;Z-LLNle-CHO_AUC;{'activation': 'identity', 'hidden_layer_sizes': [4], 'learning_rate': 'constant', 'max_iter': 4000};aero_digestive_tract;11;2.1039703736585675;0.5956918145508547;0.05415380132280498;0.232709693229;5.095222966116114;0.21396174407003885;0.11691182476454548;42.06289577484131
0;Z-LLNle-CHO_AUC;{'activation': 'tanh', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'adaptive', 'max_iter': 4000};lung;42;5.65705339891558;0.9084606790278901;0.021630016167330717;0.14707146619;7.593018333549628;0.13795141745126052;0.11964420986761896;46.10980701446533
0;Z-LLNle-CHO_AUC;{'activation': 'identity', 'hidden_layer_sizes': [10, 5, 3], 'learning_rate': 'adaptive', 'max_iter': 4000};urogenital_system;6;-0.2862152750782674;0.11009390157979669;0.01834898359663278;0.135458420176;1.2155815502377676;0.08833651053915847;0.09056891457283334;37.20347356796265
